city,outcome_tier,n,total,rate,ci_low,ci_high
nyc,Pass,32021,54980,0.5824117861040379,0.578283836811348,0.5865282195364937
nyc,Conditional,11707,54980,0.21293197526373225,0.209530090679144,0.21637397347049517
nyc,Fail,11252,54980,0.2046562386322299,0.2013044929519267,0.20804925434971688
chicago,Pass,17241,32723,0.5268771200684533,0.5214646069012929,0.5322833233603306
chicago,Conditional,6686,32723,0.20432111970173883,0.19998721759544325,0.2087244376105391
chicago,Fail,8796,32723,0.2688017602298078,0.2640255453250003,0.27363225297595156
boston,Pass,5726,16564,0.3456894469934798,0.33848314527672013,0.35296730895746325
boston,Conditional,1627,16564,0.09822506640907994,0.09378533727142334,0.10285111536100648
boston,Fail,9211,16564,0.5560854865974403,0.5485068676805643,0.5636380963321289
