threshold,tp,fp,fn,precision,recall,f1,n_predicted
0.3,64,9144,8,0.0069504778453518675,0.8888888888888888,0.013793103448275862,9208
0.35,61,5740,11,0.010515428374418203,0.8472222222222222,0.020773029116294906,5801
0.4,58,3473,14,0.01642594165958652,0.8055555555555556,0.03219539272828199,3531
0.45,52,2064,20,0.024574669187145556,0.7222222222222222,0.04753199268738574,2116
0.5,45,1181,27,0.0367047308319739,0.625,0.06933744221879815,1226
0.55,38,667,34,0.05390070921985816,0.5277777777777778,0.09781209781209782,705
0.6,29,383,43,0.0703883495145631,0.4027777777777778,0.11983471074380166,412
0.65,20,202,52,0.09009009009009009,0.2777777777777778,0.1360544217687075,222
0.7,12,114,60,0.09523809523809523,0.16666666666666666,0.12121212121212123,126
0.75,9,63,63,0.125,0.125,0.125,72
0.8,3,26,69,0.10344827586206896,0.041666666666666664,0.0594059405940594,29
0.85,2,13,70,0.13333333333333333,0.027777777777777776,0.04597701149425287,15
0.9,1,8,71,0.1111111111111111,0.013888888888888888,0.024691358024691357,9
0.95,0,2,72,0.0,0.0,0.0,2
